"","start","end","downloads","package"
"1",2018-01-01,2018-01-31,28562,"glmnet"
"2",2018-02-01,2018-02-28,34468,"glmnet"
"3",2018-03-01,2018-03-31,39473,"glmnet"
"4",2018-04-01,2018-04-30,56359,"glmnet"
"5",2018-05-01,2018-05-31,46972,"glmnet"
"6",2018-06-01,2018-06-30,37062,"glmnet"
"7",2018-07-01,2018-07-31,34976,"glmnet"
"8",2018-08-01,2018-08-31,31992,"glmnet"
"9",2018-09-01,2018-09-30,38729,"glmnet"
"10",2018-10-01,2018-10-31,54937,"glmnet"
"11",2018-11-01,2018-11-30,55156,"glmnet"
"12",2018-12-01,2018-12-31,41601,"glmnet"
"13",2019-01-01,2019-01-31,40977,"glmnet"
"14",2019-02-01,2019-02-28,47539,"glmnet"
"15",2019-03-01,2019-03-31,57521,"glmnet"
"16",2019-04-01,2019-04-30,58202,"glmnet"
"17",2019-05-01,2019-05-31,76036,"glmnet"
"18",2019-06-01,2019-06-30,60465,"glmnet"
"19",2019-07-01,2019-07-31,60019,"glmnet"
"20",2019-08-01,2019-08-31,53876,"glmnet"
"21",2019-09-01,2019-09-30,59876,"glmnet"
"22",2019-10-01,2019-10-31,76012,"glmnet"
"23",2019-11-01,2019-11-30,83138,"glmnet"
"24",2019-12-01,2019-12-31,63958,"glmnet"
"25",2020-01-01,2020-01-31,52737,"glmnet"
"26",2020-02-01,2020-02-29,58096,"glmnet"
"27",2020-03-01,2020-03-31,68602,"glmnet"
"28",2020-04-01,2020-04-30,72944,"glmnet"
"29",2020-05-01,2020-05-31,83721,"glmnet"
"30",2020-06-01,2020-06-30,81885,"glmnet"
"31",2020-07-01,2020-07-31,74191,"glmnet"
"32",2020-08-01,2020-08-31,59362,"glmnet"
"33",2020-09-01,2020-09-30,66530,"glmnet"
"34",2020-10-01,2020-10-31,79095,"glmnet"
"35",2020-11-01,2020-11-30,79383,"glmnet"
"36",2020-12-01,2020-12-31,66228,"glmnet"
"37",2021-01-01,2021-01-31,77551,"glmnet"
"38",2021-02-01,2021-02-28,86095,"glmnet"
"39",2021-03-01,2021-03-31,105555,"glmnet"
"40",2021-04-01,2021-04-30,81542,"glmnet"
"41",2021-05-01,2021-05-31,76538,"glmnet"
"42",2021-06-01,2021-06-30,85009,"glmnet"
"43",2021-07-01,2021-07-31,76615,"glmnet"
"44",2021-08-01,2021-08-31,65912,"glmnet"
"45",2021-09-01,2021-09-30,73517,"glmnet"
"46",2021-10-01,2021-10-31,86523,"glmnet"
"47",2021-11-01,2021-11-30,131018,"glmnet"
"48",2021-12-01,2021-12-31,84799,"glmnet"
"49",2022-01-01,2022-01-31,76013,"glmnet"
"50",2022-02-01,2022-02-28,78117,"glmnet"
"51",2022-03-01,2022-03-31,106964,"glmnet"
"52",2022-04-01,2022-04-30,131902,"glmnet"
"53",2022-05-01,2022-05-31,120166,"glmnet"
"54",2022-06-01,2022-06-30,93215,"glmnet"
"55",2022-07-01,2022-07-31,81677,"glmnet"
"56",2022-08-01,2022-08-31,79404,"glmnet"
"57",2022-09-01,2022-09-30,74942,"glmnet"
"58",2022-10-01,2022-10-31,85227,"glmnet"
"59",2022-11-01,2022-11-30,102473,"glmnet"
"60",2022-12-01,2022-12-31,86188,"glmnet"
"61",2023-01-01,2023-01-31,75345,"glmnet"
"62",2023-02-01,2023-02-28,79967,"glmnet"
"63",2023-03-01,2023-03-29,94874,"glmnet"
"64",2018-01-01,2018-01-31,180,"SLOPE"
"65",2018-02-01,2018-02-28,176,"SLOPE"
"66",2018-03-01,2018-03-31,139,"SLOPE"
"67",2018-04-01,2018-04-30,211,"SLOPE"
"68",2018-05-01,2018-05-31,180,"SLOPE"
"69",2018-06-01,2018-06-30,157,"SLOPE"
"70",2018-07-01,2018-07-31,163,"SLOPE"
"71",2018-08-01,2018-08-31,127,"SLOPE"
